0.85,0.44,0.03,0.94,0.08,0.81,0.59,0.45,0.84,0.28,0.70,0.61,0.47,0.07,0.28,0.41,0.03,0.38,0.56
0.95,0.49,0.80,0.08,0.98,0.40,0.23,0.90,0.05,0.36,0.19,0.57,0.42,0.52,0.10,0.36,0.85,0.36,0.98
0.79,0.49,0.11,0.27,0.46,0.61,0.76,0.63,0.23,0.22,0.36,0.71,0.57,0.59,0.73,0.69,0.64,0.67,0.54
0.42,0.65,0.94,0.45,0.99,0.43,0.47,0.60,0.61,0.88,0.60,0.80,0.21,0.30,0.47,0.86,0.06,0.88,0.43
0.27,0.39,0.31,0.85,0.85,0.57,0.86,0.76,0.64,0.81,0.74,0.75,0.30,0.44,0.87,0.77,0.12,0.23,0.68
0.91,0.99,0.07,0.28,0.89,0.79,0.89,0.91,0.01,0.38,0.93,0.96,0.94,0.03,0.12,0.55,0.39,0.25,0.00
0.90,0.38,0.56,0.07,0.20,0.98,0.28,0.17,0.04,0.42,0.54,0.17,0.76,0.78,0.93,0.84,0.64,0.19,0.10
0.70,0.62,0.15,0.41,0.93,0.18,0.09,0.53,0.64,0.77,0.88,0.81,0.31,0.62,0.83,0.64,0.48,0.27,0.52
0.66,0.45,0.79,0.82,0.02,0.28,0.02,0.92,0.65,0.55,0.55,0.20,0.63,0.94,0.57,0.16,0.52,0.93,0.36
0.70,0.19,0.60,0.83,0.67,0.86,0.27,0.19,0.59,0.25,0.57,0.00,0.68,0.87,0.13,0.12,0.86,0.61,0.50
0.51,0.22,0.09,1.00,0.58,0.53,0.02,0.60,0.99,0.80,0.69,0.05,0.03,0.77,0.74,0.25,0.57,0.35,0.09
0.05,0.45,0.56,0.94,0.14,0.31,0.71,0.73,0.49,0.76,0.45,0.93,0.00,0.23,0.26,0.67,0.01,0.84,0.81
0.17,0.24,0.84,0.43,0.87,0.28,0.80,0.60,0.40,0.57,0.58,0.71,0.83,0.37,0.41,0.58,0.30,0.06,0.04
0.37,0.34,0.01,0.64,0.39,0.04,0.63,0.34,0.43,0.04,0.78,0.59,0.23,0.67,0.05,0.67,0.59,0.04,0.14
0.38,0.69,0.37,0.60,0.49,0.68,0.51,0.30,0.86,0.94,0.99,0.15,0.14,0.43,0.97,0.06,0.71,0.62,0.58
0.02,0.09,0.24,0.26,0.11,0.35,0.19,0.56,0.78,0.06,0.51,0.56,0.31,0.29,0.89,0.24,0.93,0.78,0.58
0.80,0.85,0.27,0.58,0.16,0.09,0.10,0.59,0.41,0.44,0.59,0.19,0.61,0.41,0.30,0.99,0.55,0.60,0.60
0.40,0.11,0.25,0.46,0.46,0.88,0.19,0.63,0.68,0.70,0.05,0.19,0.33,0.69,0.54,0.69,0.82,0.74,0.86
0.99,0.47,0.42,0.12,0.81,0.63,0.68,0.57,0.38,0.90,0.18,0.06,0.75,0.02,0.37,0.09,0.39,0.03,0.36
0.66,0.43,0.30,0.55,0.49,0.91,0.41,0.96,0.07,0.88,0.21,0.98,0.24,0.31,0.48,0.31,0.79,0.10,0.22
0.53,0.06,0.53,0.96,0.04,0.74,0.50,0.22,0.22,0.17,0.97,0.75,0.45,0.34,0.25,0.92,0.92,0.50,0.41
0.04,0.59,0.29,0.13,0.90,0.79,0.36,0.83,0.84,0.60,0.11,0.77,0.54,0.75,0.58,0.03,0.57,0.95,0.68
0.96,0.49,0.88,0.95,0.98,0.17,0.98,0.22,0.77,0.69,0.79,0.40,0.65,0.03,0.96,0.99,0.76,0.67,0.87
0.73,0.63,0.90,0.61,0.03,0.97,0.52,0.56,0.09,0.12,0.75,0.35,0.63,0.11,0.03,0.32,0.13,0.14,0.07
0.50,0.21,0.49,0.71,0.74,0.92,0.99,0.26,0.38,0.02,0.63,0.17,0.56,0.48,0.65,0.12,0.89,0.65,0.58
0.02,0.80,0.66,0.58,0.82,0.62,0.20,0.43,0.88,0.36,0.83,0.26,0.94,0.27,0.73,0.61,0.01,0.92,0.06
0.13,0.77,0.21,0.84,0.55,0.72,0.63,0.57,0.53,0.75,0.89,0.68,0.00,0.74,0.23,0.38,0.44,0.39,0.93
0.59,0.59,0.71,0.89,0.40,0.29,0.99,0.97,0.23,0.03,0.77,0.21,0.78,0.67,0.98,0.29,0.83,0.68,0.96
0.66,0.12,0.15,0.28,0.62,0.90,0.50,0.57,0.91,0.59,0.16,0.87,0.16,0.74,0.56,0.67,0.52,0.20,0.30
0.46,0.41,0.68,0.84,0.13,0.62,0.77,0.64,0.15,0.23,0.72,0.52,0.98,0.29,0.63,0.24,0.21,0.63,0.40
